"Screen Resolution","Market Share Perc. (2015 - 2019)"
"360x640",19.8
"1366x768",15.21
"1920x1080",9.55
"1280x800",4.68
"1280x1024",4
"768x1024",3.84
"1440x900",3.59
"375x667",3.49
"1024x768",3.19
"320x568",2.44
"1600x900",2.23
"1680x1050",1.68
"320x534",1.61
"320x570",1.47
"1536x864",1.27
"2560x1440",1.17
"1280x720",1.16
"414x736",0.96
"1360x768",0.95
"480x800",0.88
"Other",16.82
