"Screen Resolution","Market Share Perc. (2015 - 2019)"
"360x640",48.47
"375x667",8.99
"320x568",6.27
"320x534",3.96
"320x570",3.44
"414x736",2.47
"480x800",2.24
"320x480",1.95
"720x1280",1.66
"360x592",1.42
"640x360",1.39
"412x732",1.08
"360x720",1.06
"360x740",1.06
"540x960",0.93
"412x846",0.86
"1280x800",0.63
"1080x1920",0.63
"375x812",0.62
"480x854",0.62
"Other",10.26
