"Screen Resolution","Market Share Perc. (2015 - 2019)"
"768x1024",59.63
"1280x800",12.8
"800x1280",3.81
"600x1024",3.08
"1024x768",2.43
"1024x600",1.87
"601x962",1.35
"1024x1366",0.95
"1280x752",0.95
"1024x552",0.9
"962x601",0.78
"600x976",0.5
"834x1112",0.46
"600x960",0.4
"360x640",0.35
"800x1232",0.31
"1280x720",0.28
"960x600",0.26
"1366x768",0.25
"800x480",0.22
"Other",8.41
